accuracy,hidden_size,leaky_relu,learning_rate,num_layers,p_dropout,search_type,weight_decay
0.4393,4000.0,0.0,1e-05,3.0,0.5,grid,1e-05
0.4393,4000.0,0.0,1e-05,3.0,0.5,grid,0.001
0.4389,4000.0,0.0,1e-05,3.0,0.5,grid,0.01
0.5011,4000.0,0.0,1e-05,3.0,0.0,grid,1e-05
0.5011,4000.0,0.0,1e-05,3.0,0.0,grid,0.001
0.501,4000.0,0.0,1e-05,3.0,0.0,grid,0.01
0.4753,4000.0,0.0,1e-05,2.0,0.5,grid,1e-05
0.4753,4000.0,0.0,1e-05,2.0,0.5,grid,0.001
0.4763,4000.0,0.0,1e-05,2.0,0.5,grid,0.01
0.4823,4000.0,0.0,1e-05,2.0,0.0,grid,1e-05
0.4823,4000.0,0.0,1e-05,2.0,0.0,grid,0.001
0.4819,4000.0,0.0,1e-05,2.0,0.0,grid,0.01
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,1e-05
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,0.001
0.3535,4000.0,0.0,1e-05,1.0,0.5,grid,0.01
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,1e-05
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,0.001
0.3724,4000.0,0.0,1e-05,1.0,0.0,grid,0.01
0.1469,4000.0,0.0,0.0001,3.0,0.5,grid,1e-05
0.1558,4000.0,0.0,0.0001,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.0001,3.0,0.5,grid,0.01
0.3781,4000.0,0.0,0.0001,3.0,0.0,grid,1e-05
0.4826,4000.0,0.0,0.0001,3.0,0.0,grid,0.001
0.4402,4000.0,0.0,0.0001,3.0,0.0,grid,0.01
0.2586,4000.0,0.0,0.0001,2.0,0.5,grid,1e-05
0.1928,4000.0,0.0,0.0001,2.0,0.5,grid,0.001
0.2329,4000.0,0.0,0.0001,2.0,0.5,grid,0.01
0.4344,4000.0,0.0,0.0001,2.0,0.0,grid,1e-05
0.4353,4000.0,0.0,0.0001,2.0,0.0,grid,0.001
0.481,4000.0,0.0,0.0001,2.0,0.0,grid,0.01
0.3821,4000.0,0.0,0.0001,1.0,0.5,grid,1e-05
0.3816,4000.0,0.0,0.0001,1.0,0.5,grid,0.001
0.3811,4000.0,0.0,0.0001,1.0,0.5,grid,0.01
0.4058,4000.0,0.0,0.0001,1.0,0.0,grid,1e-05
0.4071,4000.0,0.0,0.0001,1.0,0.0,grid,0.001
0.4058,4000.0,0.0,0.0001,1.0,0.0,grid,0.01
0.1,4000.0,0.0,0.001,3.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.001,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.001,3.0,0.5,grid,0.01
0.1,4000.0,0.0,0.001,3.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.001,3.0,0.0,grid,0.001
0.1,4000.0,0.0,0.001,3.0,0.0,grid,0.01
0.1,4000.0,0.0,0.001,2.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.001,2.0,0.5,grid,0.001
0.1,4000.0,0.0,0.001,2.0,0.5,grid,0.01
0.1,4000.0,0.0,0.001,2.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.001,2.0,0.0,grid,0.001
0.1,4000.0,0.0,0.001,2.0,0.0,grid,0.01
0.2519,4000.0,0.0,0.001,1.0,0.5,grid,1e-05
0.2821,4000.0,0.0,0.001,1.0,0.5,grid,0.001
0.2718,4000.0,0.0,0.001,1.0,0.5,grid,0.01
0.3631,4000.0,0.0,0.001,1.0,0.0,grid,1e-05
0.3743,4000.0,0.0,0.001,1.0,0.0,grid,0.001
0.3658,4000.0,0.0,0.001,1.0,0.0,grid,0.01
0.1,4000.0,0.0,0.01,3.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.01,3.0,0.5,grid,0.001
0.1,4000.0,0.0,0.01,3.0,0.5,grid,0.01
0.1,4000.0,0.0,0.01,3.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.01,3.0,0.0,grid,0.001
0.1,4000.0,0.0,0.01,3.0,0.0,grid,0.01
0.1,4000.0,0.0,0.01,2.0,0.5,grid,1e-05
0.1,4000.0,0.0,0.01,2.0,0.5,grid,0.001
0.1,4000.0,0.0,0.01,2.0,0.5,grid,0.01
0.1,4000.0,0.0,0.01,2.0,0.0,grid,1e-05
0.1,4000.0,0.0,0.01,2.0,0.0,grid,0.001
0.1,4000.0,0.0,0.01,2.0,0.0,grid,0.01
0.0975,4000.0,0.0,0.01,1.0,0.5,grid,1e-05
0.12,4000.0,0.0,0.01,1.0,0.5,grid,0.001
0.1142,4000.0,0.0,0.01,1.0,0.5,grid,0.01
0.128,4000.0,0.0,0.01,1.0,0.0,grid,1e-05
0.1558,4000.0,0.0,0.01,1.0,0.0,grid,0.001
0.1591,4000.0,0.0,0.01,1.0,0.0,grid,0.01
0.4883,4000.0,1.0,1e-05,3.0,0.5,grid,1e-05
0.4883,4000.0,1.0,1e-05,3.0,0.5,grid,0.001
0.4896,4000.0,1.0,1e-05,3.0,0.5,grid,0.01
0.5003,4000.0,1.0,1e-05,3.0,0.0,grid,1e-05
0.5003,4000.0,1.0,1e-05,3.0,0.0,grid,0.001
0.5001,4000.0,1.0,1e-05,3.0,0.0,grid,0.01
0.4754,4000.0,1.0,1e-05,2.0,0.5,grid,1e-05
0.4754,4000.0,1.0,1e-05,2.0,0.5,grid,0.001
0.4734,4000.0,1.0,1e-05,2.0,0.5,grid,0.01
0.4818,4000.0,1.0,1e-05,2.0,0.0,grid,1e-05
0.4818,4000.0,1.0,1e-05,2.0,0.0,grid,0.001
0.4822,4000.0,1.0,1e-05,2.0,0.0,grid,0.01
0.3542,4000.0,1.0,1e-05,1.0,0.5,grid,1e-05
0.3542,4000.0,1.0,1e-05,1.0,0.5,grid,0.001
0.3541,4000.0,1.0,1e-05,1.0,0.5,grid,0.01
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,1e-05
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,0.001
0.3723,4000.0,1.0,1e-05,1.0,0.0,grid,0.01
0.409,4000.0,1.0,0.0001,3.0,0.5,grid,1e-05
0.3988,4000.0,1.0,0.0001,3.0,0.5,grid,0.001
0.3545,4000.0,1.0,0.0001,3.0,0.5,grid,0.01
0.532,4000.0,1.0,0.0001,3.0,0.0,grid,1e-05
0.5318,4000.0,1.0,0.0001,3.0,0.0,grid,0.001
0.5329,4000.0,1.0,0.0001,3.0,0.0,grid,0.01
0.4048,4000.0,1.0,0.0001,2.0,0.5,grid,1e-05
0.4035,4000.0,1.0,0.0001,2.0,0.5,grid,0.001
0.3842,4000.0,1.0,0.0001,2.0,0.5,grid,0.01
0.5164,4000.0,1.0,0.0001,2.0,0.0,grid,1e-05
0.5172,4000.0,1.0,0.0001,2.0,0.0,grid,0.001
0.5173,4000.0,1.0,0.0001,2.0,0.0,grid,0.01
0.3817,4000.0,1.0,0.0001,1.0,0.5,grid,1e-05
0.3816,4000.0,1.0,0.0001,1.0,0.5,grid,0.001
0.3803,4000.0,1.0,0.0001,1.0,0.5,grid,0.01
0.4079,4000.0,1.0,0.0001,1.0,0.0,grid,1e-05
0.4079,4000.0,1.0,0.0001,1.0,0.0,grid,0.001
0.4063,4000.0,1.0,0.0001,1.0,0.0,grid,0.01
0.1909,4000.0,1.0,0.001,3.0,0.5,grid,1e-05
0.1462,4000.0,1.0,0.001,3.0,0.5,grid,0.001
0.1672,4000.0,1.0,0.001,3.0,0.5,grid,0.01
0.5026,4000.0,1.0,0.001,3.0,0.0,grid,1e-05
0.5037,4000.0,1.0,0.001,3.0,0.0,grid,0.001
0.5041,4000.0,1.0,0.001,3.0,0.0,grid,0.01
0.2136,4000.0,1.0,0.001,2.0,0.5,grid,1e-05
0.2168,4000.0,1.0,0.001,2.0,0.5,grid,0.001
0.2013,4000.0,1.0,0.001,2.0,0.5,grid,0.01
0.4926,4000.0,1.0,0.001,2.0,0.0,grid,1e-05
0.4974,4000.0,1.0,0.001,2.0,0.0,grid,0.001
0.499,4000.0,1.0,0.001,2.0,0.0,grid,0.01
0.3143,4000.0,1.0,0.001,1.0,0.5,grid,1e-05
0.3064,4000.0,1.0,0.001,1.0,0.5,grid,0.001
0.3189,4000.0,1.0,0.001,1.0,0.5,grid,0.01
0.3754,4000.0,1.0,0.001,1.0,0.0,grid,1e-05
0.3745,4000.0,1.0,0.001,1.0,0.0,grid,0.001
0.3737,4000.0,1.0,0.001,1.0,0.0,grid,0.01
0.1851,4000.0,1.0,0.01,3.0,0.5,grid,1e-05
0.1398,4000.0,1.0,0.01,3.0,0.5,grid,0.001
0.1023,4000.0,1.0,0.01,3.0,0.5,grid,0.01
0.458,4000.0,1.0,0.01,3.0,0.0,grid,1e-05
0.4432,4000.0,1.0,0.01,3.0,0.0,grid,0.001
0.4401,4000.0,1.0,0.01,3.0,0.0,grid,0.01
0.1872,4000.0,1.0,0.01,2.0,0.5,grid,1e-05
0.2117,4000.0,1.0,0.01,2.0,0.5,grid,0.001
0.1562,4000.0,1.0,0.01,2.0,0.5,grid,0.01
0.4671,4000.0,1.0,0.01,2.0,0.0,grid,1e-05
0.4709,4000.0,1.0,0.01,2.0,0.0,grid,0.001
0.4326,4000.0,1.0,0.01,2.0,0.0,grid,0.01
0.1905,4000.0,1.0,0.01,1.0,0.5,grid,1e-05
0.1477,4000.0,1.0,0.01,1.0,0.5,grid,0.001
0.1466,4000.0,1.0,0.01,1.0,0.5,grid,0.01
0.2634,4000.0,1.0,0.01,1.0,0.0,grid,1e-05
0.2493,4000.0,1.0,0.01,1.0,0.0,grid,0.001
0.232,4000.0,1.0,0.01,1.0,0.0,grid,0.01
0.4783,2000.0,0.0,1e-05,3.0,0.5,grid,1e-05
0.4783,2000.0,0.0,1e-05,3.0,0.5,grid,0.001
0.4781,2000.0,0.0,1e-05,3.0,0.5,grid,0.01
0.4879,2000.0,0.0,1e-05,3.0,0.0,grid,1e-05
0.4879,2000.0,0.0,1e-05,3.0,0.0,grid,0.001
0.4872,2000.0,0.0,1e-05,3.0,0.0,grid,0.01
0.4254,2000.0,0.0,1e-05,2.0,0.5,grid,1e-05
0.4254,2000.0,0.0,1e-05,2.0,0.5,grid,0.001
0.4555,2000.0,0.0,1e-05,2.0,0.5,grid,0.01
0.4723,2000.0,0.0,1e-05,2.0,0.0,grid,1e-05
0.4723,2000.0,0.0,1e-05,2.0,0.0,grid,0.001
0.4726,2000.0,0.0,1e-05,2.0,0.0,grid,0.01
0.3535,2000.0,0.0,1e-05,1.0,0.5,grid,1e-05
0.3535,2000.0,0.0,1e-05,1.0,0.5,grid,0.001
0.3535,2000.0,0.0,1e-05,1.0,0.5,grid,0.01
0.3724,2000.0,0.0,1e-05,1.0,0.0,grid,1e-05
0.3724,2000.0,0.0,1e-05,1.0,0.0,grid,0.001
0.3724,2000.0,0.0,1e-05,1.0,0.0,grid,0.01
0.4925,2000.0,0.0,0.0001,3.0,0.5,grid,1e-05
0.4923,2000.0,0.0,0.0001,3.0,0.5,grid,0.001
0.4902,2000.0,0.0,0.0001,3.0,0.5,grid,0.01
0.5133,2000.0,0.0,0.0001,3.0,0.0,grid,1e-05
0.5385,2000.0,0.0,0.0001,3.0,0.0,grid,0.001
0.5127,2000.0,0.0,0.0001,3.0,0.0,grid,0.01
0.3561,2000.0,0.0,0.0001,2.0,0.5,grid,1e-05
0.3476,2000.0,0.0,0.0001,2.0,0.5,grid,0.001
0.367,2000.0,0.0,0.0001,2.0,0.5,grid,0.01
0.5254,2000.0,0.0,0.0001,2.0,0.0,grid,1e-05
0.4761,2000.0,0.0,0.0001,2.0,0.0,grid,0.001
0.4767,2000.0,0.0,0.0001,2.0,0.0,grid,0.01
0.3821,2000.0,0.0,0.0001,1.0,0.5,grid,1e-05
0.3816,2000.0,0.0,0.0001,1.0,0.5,grid,0.001
0.3811,2000.0,0.0,0.0001,1.0,0.5,grid,0.01
0.4058,2000.0,0.0,0.0001,1.0,0.0,grid,1e-05
0.4071,2000.0,0.0,0.0001,1.0,0.0,grid,0.001
0.4058,2000.0,0.0,0.0001,1.0,0.0,grid,0.01
0.1,2000.0,0.0,0.001,3.0,0.5,grid,1e-05
0.1,2000.0,0.0,0.001,3.0,0.5,grid,0.001
0.1,2000.0,0.0,0.001,3.0,0.5,grid,0.01
0.1,2000.0,0.0,0.001,3.0,0.0,grid,1e-05
0.1,2000.0,0.0,0.001,3.0,0.0,grid,0.001
0.1,2000.0,0.0,0.001,3.0,0.0,grid,0.01
0.1,2000.0,0.0,0.001,2.0,0.5,grid,1e-05
0.1,2000.0,0.0,0.001,2.0,0.5,grid,0.001
0.1,2000.0,0.0,0.001,2.0,0.5,grid,0.01
0.1,2000.0,0.0,0.001,2.0,0.0,grid,1e-05
0.1,2000.0,0.0,0.001,2.0,0.0,grid,0.001
0.1,2000.0,0.0,0.001,2.0,0.0,grid,0.01
0.2519,2000.0,0.0,0.001,1.0,0.5,grid,1e-05
0.2821,2000.0,0.0,0.001,1.0,0.5,grid,0.001
0.2718,2000.0,0.0,0.001,1.0,0.5,grid,0.01
0.3631,2000.0,0.0,0.001,1.0,0.0,grid,1e-05
0.3743,2000.0,0.0,0.001,1.0,0.0,grid,0.001
0.3658,2000.0,0.0,0.001,1.0,0.0,grid,0.01
0.1,2000.0,0.0,0.01,3.0,0.5,grid,1e-05
0.1,2000.0,0.0,0.01,3.0,0.5,grid,0.001
0.1,2000.0,0.0,0.01,3.0,0.5,grid,0.01
0.1,2000.0,0.0,0.01,3.0,0.0,grid,1e-05
0.1,2000.0,0.0,0.01,3.0,0.0,grid,0.001
0.1,2000.0,0.0,0.01,3.0,0.0,grid,0.01
0.1,2000.0,0.0,0.01,2.0,0.5,grid,1e-05
0.1,2000.0,0.0,0.01,2.0,0.5,grid,0.001
0.1,2000.0,0.0,0.01,2.0,0.5,grid,0.01
0.1,2000.0,0.0,0.01,2.0,0.0,grid,1e-05
0.1,2000.0,0.0,0.01,2.0,0.0,grid,0.001
0.1,2000.0,0.0,0.01,2.0,0.0,grid,0.01
0.0975,2000.0,0.0,0.01,1.0,0.5,grid,1e-05
0.12,2000.0,0.0,0.01,1.0,0.5,grid,0.001
0.1142,2000.0,0.0,0.01,1.0,0.5,grid,0.01
0.128,2000.0,0.0,0.01,1.0,0.0,grid,1e-05
0.1558,2000.0,0.0,0.01,1.0,0.0,grid,0.001
0.1591,2000.0,0.0,0.01,1.0,0.0,grid,0.01
0.4765,2000.0,1.0,1e-05,3.0,0.5,grid,1e-05
0.4765,2000.0,1.0,1e-05,3.0,0.5,grid,0.001
0.4773,2000.0,1.0,1e-05,3.0,0.5,grid,0.01
0.4865,2000.0,1.0,1e-05,3.0,0.0,grid,1e-05
0.4865,2000.0,1.0,1e-05,3.0,0.0,grid,0.001
0.4862,2000.0,1.0,1e-05,3.0,0.0,grid,0.01
0.4591,2000.0,1.0,1e-05,2.0,0.5,grid,1e-05
0.4591,2000.0,1.0,1e-05,2.0,0.5,grid,0.001
0.4579,2000.0,1.0,1e-05,2.0,0.5,grid,0.01
0.472,2000.0,1.0,1e-05,2.0,0.0,grid,1e-05
0.472,2000.0,1.0,1e-05,2.0,0.0,grid,0.001
0.4722,2000.0,1.0,1e-05,2.0,0.0,grid,0.01
0.3542,2000.0,1.0,1e-05,1.0,0.5,grid,1e-05
0.3542,2000.0,1.0,1e-05,1.0,0.5,grid,0.001
0.3541,2000.0,1.0,1e-05,1.0,0.5,grid,0.01
0.3723,2000.0,1.0,1e-05,1.0,0.0,grid,1e-05
0.3723,2000.0,1.0,1e-05,1.0,0.0,grid,0.001
0.3723,2000.0,1.0,1e-05,1.0,0.0,grid,0.01
0.486,2000.0,1.0,0.0001,3.0,0.5,grid,1e-05
0.4905,2000.0,1.0,0.0001,3.0,0.5,grid,0.001
0.4899,2000.0,1.0,0.0001,3.0,0.5,grid,0.01
0.5372,2000.0,1.0,0.0001,3.0,0.0,grid,1e-05
0.54,2000.0,1.0,0.0001,3.0,0.0,grid,0.001
0.5374,2000.0,1.0,0.0001,3.0,0.0,grid,0.01
0.4308,2000.0,1.0,0.0001,2.0,0.5,grid,1e-05
0.4415,2000.0,1.0,0.0001,2.0,0.5,grid,0.001
0.4389,2000.0,1.0,0.0001,2.0,0.5,grid,0.01
0.522,2000.0,1.0,0.0001,2.0,0.0,grid,1e-05
0.5248,2000.0,1.0,0.0001,2.0,0.0,grid,0.001
0.5217,2000.0,1.0,0.0001,2.0,0.0,grid,0.01
0.3817,2000.0,1.0,0.0001,1.0,0.5,grid,1e-05
0.3816,2000.0,1.0,0.0001,1.0,0.5,grid,0.001
0.3803,2000.0,1.0,0.0001,1.0,0.5,grid,0.01
0.4079,2000.0,1.0,0.0001,1.0,0.0,grid,1e-05
0.4079,2000.0,1.0,0.0001,1.0,0.0,grid,0.001
0.4063,2000.0,1.0,0.0001,1.0,0.0,grid,0.01
0.1365,2000.0,1.0,0.001,3.0,0.5,grid,1e-05
0.1682,2000.0,1.0,0.001,3.0,0.5,grid,0.001
0.1637,2000.0,1.0,0.001,3.0,0.5,grid,0.01
0.516,2000.0,1.0,0.001,3.0,0.0,grid,1e-05
0.5092,2000.0,1.0,0.001,3.0,0.0,grid,0.001
0.492,2000.0,1.0,0.001,3.0,0.0,grid,0.01
0.2536,2000.0,1.0,0.001,2.0,0.5,grid,1e-05
0.2259,2000.0,1.0,0.001,2.0,0.5,grid,0.001
0.2523,2000.0,1.0,0.001,2.0,0.5,grid,0.01
0.4927,2000.0,1.0,0.001,2.0,0.0,grid,1e-05
0.4903,2000.0,1.0,0.001,2.0,0.0,grid,0.001
0.488,2000.0,1.0,0.001,2.0,0.0,grid,0.01
0.3143,2000.0,1.0,0.001,1.0,0.5,grid,1e-05
0.3064,2000.0,1.0,0.001,1.0,0.5,grid,0.001
0.3189,2000.0,1.0,0.001,1.0,0.5,grid,0.01
0.3754,2000.0,1.0,0.001,1.0,0.0,grid,1e-05
0.3745,2000.0,1.0,0.001,1.0,0.0,grid,0.001
0.3737,2000.0,1.0,0.001,1.0,0.0,grid,0.01
0.1479,2000.0,1.0,0.01,3.0,0.5,grid,1e-05
0.1874,2000.0,1.0,0.01,3.0,0.5,grid,0.001
0.1054,2000.0,1.0,0.01,3.0,0.5,grid,0.01
0.4639,2000.0,1.0,0.01,3.0,0.0,grid,1e-05
0.389,2000.0,1.0,0.01,3.0,0.0,grid,0.001
0.4604,2000.0,1.0,0.01,3.0,0.0,grid,0.01
0.1454,2000.0,1.0,0.01,2.0,0.5,grid,1e-05
0.1661,2000.0,1.0,0.01,2.0,0.5,grid,0.001
0.1947,2000.0,1.0,0.01,2.0,0.5,grid,0.01
0.4751,2000.0,1.0,0.01,2.0,0.0,grid,1e-05
0.4857,2000.0,1.0,0.01,2.0,0.0,grid,0.001
0.4717,2000.0,1.0,0.01,2.0,0.0,grid,0.01
0.1905,2000.0,1.0,0.01,1.0,0.5,grid,1e-05
0.1477,2000.0,1.0,0.01,1.0,0.5,grid,0.001
0.1466,2000.0,1.0,0.01,1.0,0.5,grid,0.01
0.2634,2000.0,1.0,0.01,1.0,0.0,grid,1e-05
0.2493,2000.0,1.0,0.01,1.0,0.0,grid,0.001
0.232,2000.0,1.0,0.01,1.0,0.0,grid,0.01
0.4603,1000.0,0.0,1e-05,3.0,0.5,grid,1e-05
0.4603,1000.0,0.0,1e-05,3.0,0.5,grid,0.001
0.463,1000.0,0.0,1e-05,3.0,0.5,grid,0.01
0.4697,1000.0,0.0,1e-05,3.0,0.0,grid,1e-05
0.4697,1000.0,0.0,1e-05,3.0,0.0,grid,0.001
0.4707,1000.0,0.0,1e-05,3.0,0.0,grid,0.01
0.4607,1000.0,0.0,1e-05,2.0,0.5,grid,1e-05
0.4607,1000.0,0.0,1e-05,2.0,0.5,grid,0.001
0.4598,1000.0,0.0,1e-05,2.0,0.5,grid,0.01
0.465,1000.0,0.0,1e-05,2.0,0.0,grid,1e-05
0.465,1000.0,0.0,1e-05,2.0,0.0,grid,0.001
0.466,1000.0,0.0,1e-05,2.0,0.0,grid,0.01
0.3535,1000.0,0.0,1e-05,1.0,0.5,grid,1e-05
0.3535,1000.0,0.0,1e-05,1.0,0.5,grid,0.001
0.3535,1000.0,0.0,1e-05,1.0,0.5,grid,0.01
0.3724,1000.0,0.0,1e-05,1.0,0.0,grid,1e-05
0.3724,1000.0,0.0,1e-05,1.0,0.0,grid,0.001
0.3724,1000.0,0.0,1e-05,1.0,0.0,grid,0.01
0.4716,1000.0,0.0,0.0001,3.0,0.5,grid,1e-05
0.4651,1000.0,0.0,0.0001,3.0,0.5,grid,0.001
0.4324,1000.0,0.0,0.0001,3.0,0.5,grid,0.01
0.5258,1000.0,0.0,0.0001,3.0,0.0,grid,1e-05
0.5272,1000.0,0.0,0.0001,3.0,0.0,grid,0.001
0.523,1000.0,0.0,0.0001,3.0,0.0,grid,0.01
0.4564,1000.0,0.0,0.0001,2.0,0.5,grid,1e-05
0.4592,1000.0,0.0,0.0001,2.0,0.5,grid,0.001
0.4583,1000.0,0.0,0.0001,2.0,0.5,grid,0.01
0.5111,1000.0,0.0,0.0001,2.0,0.0,grid,1e-05
0.5099,1000.0,0.0,0.0001,2.0,0.0,grid,0.001
0.5115,1000.0,0.0,0.0001,2.0,0.0,grid,0.01
0.3821,1000.0,0.0,0.0001,1.0,0.5,grid,1e-05
0.3816,1000.0,0.0,0.0001,1.0,0.5,grid,0.001
0.3811,1000.0,0.0,0.0001,1.0,0.5,grid,0.01
0.4058,1000.0,0.0,0.0001,1.0,0.0,grid,1e-05
0.4071,1000.0,0.0,0.0001,1.0,0.0,grid,0.001
0.4058,1000.0,0.0,0.0001,1.0,0.0,grid,0.01
0.1,1000.0,0.0,0.001,3.0,0.5,grid,1e-05
0.1,1000.0,0.0,0.001,3.0,0.5,grid,0.001
0.1,1000.0,0.0,0.001,3.0,0.5,grid,0.01
0.1,1000.0,0.0,0.001,3.0,0.0,grid,1e-05
0.1,1000.0,0.0,0.001,3.0,0.0,grid,0.001
0.1,1000.0,0.0,0.001,3.0,0.0,grid,0.01
0.1,1000.0,0.0,0.001,2.0,0.5,grid,1e-05
0.1,1000.0,0.0,0.001,2.0,0.5,grid,0.001
0.1,1000.0,0.0,0.001,2.0,0.5,grid,0.01
0.1622,1000.0,0.0,0.001,2.0,0.0,grid,1e-05
0.2003,1000.0,0.0,0.001,2.0,0.0,grid,0.001
0.1817,1000.0,0.0,0.001,2.0,0.0,grid,0.01
0.2519,1000.0,0.0,0.001,1.0,0.5,grid,1e-05
0.2821,1000.0,0.0,0.001,1.0,0.5,grid,0.001
0.2718,1000.0,0.0,0.001,1.0,0.5,grid,0.01
0.3631,1000.0,0.0,0.001,1.0,0.0,grid,1e-05
0.3743,1000.0,0.0,0.001,1.0,0.0,grid,0.001
0.3658,1000.0,0.0,0.001,1.0,0.0,grid,0.01
0.1,1000.0,0.0,0.01,3.0,0.5,grid,1e-05
0.1,1000.0,0.0,0.01,3.0,0.5,grid,0.001
0.1,1000.0,0.0,0.01,3.0,0.5,grid,0.01
0.1,1000.0,0.0,0.01,3.0,0.0,grid,1e-05
0.1,1000.0,0.0,0.01,3.0,0.0,grid,0.001
0.1,1000.0,0.0,0.01,3.0,0.0,grid,0.01
0.1,1000.0,0.0,0.01,2.0,0.5,grid,1e-05
0.1,1000.0,0.0,0.01,2.0,0.5,grid,0.001
0.1,1000.0,0.0,0.01,2.0,0.5,grid,0.01
0.1,1000.0,0.0,0.01,2.0,0.0,grid,1e-05
0.1,1000.0,0.0,0.01,2.0,0.0,grid,0.001
0.1,1000.0,0.0,0.01,2.0,0.0,grid,0.01
0.0975,1000.0,0.0,0.01,1.0,0.5,grid,1e-05
0.12,1000.0,0.0,0.01,1.0,0.5,grid,0.001
0.1142,1000.0,0.0,0.01,1.0,0.5,grid,0.01
0.128,1000.0,0.0,0.01,1.0,0.0,grid,1e-05
0.1558,1000.0,0.0,0.01,1.0,0.0,grid,0.001
0.1591,1000.0,0.0,0.01,1.0,0.0,grid,0.01
0.4625,1000.0,1.0,1e-05,3.0,0.5,grid,1e-05
0.4625,1000.0,1.0,1e-05,3.0,0.5,grid,0.001
0.461,1000.0,1.0,1e-05,3.0,0.5,grid,0.01
0.4709,1000.0,1.0,1e-05,3.0,0.0,grid,1e-05
0.4709,1000.0,1.0,1e-05,3.0,0.0,grid,0.001
0.4705,1000.0,1.0,1e-05,3.0,0.0,grid,0.01
0.4595,1000.0,1.0,1e-05,2.0,0.5,grid,1e-05
0.4595,1000.0,1.0,1e-05,2.0,0.5,grid,0.001
0.4594,1000.0,1.0,1e-05,2.0,0.5,grid,0.01
0.4649,1000.0,1.0,1e-05,2.0,0.0,grid,1e-05
0.4649,1000.0,1.0,1e-05,2.0,0.0,grid,0.001
0.4653,1000.0,1.0,1e-05,2.0,0.0,grid,0.01
0.3542,1000.0,1.0,1e-05,1.0,0.5,grid,1e-05
0.3542,1000.0,1.0,1e-05,1.0,0.5,grid,0.001
0.3541,1000.0,1.0,1e-05,1.0,0.5,grid,0.01
0.3723,1000.0,1.0,1e-05,1.0,0.0,grid,1e-05
0.3723,1000.0,1.0,1e-05,1.0,0.0,grid,0.001
0.3723,1000.0,1.0,1e-05,1.0,0.0,grid,0.01
0.4898,1000.0,1.0,0.0001,3.0,0.5,grid,1e-05
0.4932,1000.0,1.0,0.0001,3.0,0.5,grid,0.001
0.4853,1000.0,1.0,0.0001,3.0,0.5,grid,0.01
0.5279,1000.0,1.0,0.0001,3.0,0.0,grid,1e-05
0.5268,1000.0,1.0,0.0001,3.0,0.0,grid,0.001
0.5261,1000.0,1.0,0.0001,3.0,0.0,grid,0.01
0.4635,1000.0,1.0,0.0001,2.0,0.5,grid,1e-05
0.4575,1000.0,1.0,0.0001,2.0,0.5,grid,0.001
0.4651,1000.0,1.0,0.0001,2.0,0.5,grid,0.01
0.5112,1000.0,1.0,0.0001,2.0,0.0,grid,1e-05
